id,first_name,last_name,family_id,date_of_birth,rating,active
1,Gonzalo,Feeney,69,2006-10-12,0,1
2,Birdie,Larson,43,2003-10-12,343,1
3,Helen,Spencer,14,2004-10-12,258,1
4,Kenya,Kilback,41,2007-10-12,0,1
5,Dasia,Grant,10,2008-10-12,0,1
6,Bernardo,Fritsch,17,2002-10-12,0,1
7,Marquise,Gislason,28,2004-10-12,0,1
8,Jacques,Hettinger,2,2004-10-12,214,1
9,Mac,Fay,49,2004-10-12,316,1
10,Carter,Nader,27,2007-10-12,0,1
11,Madilyn,Howe,82,2002-10-12,331,1
12,Monty,Pagac,97,2002-10-12,355,1
13,Devan,Weissnat,90,2008-10-12,156,1
14,Pearl,Farrell,53,2003-10-12,397,1
15,Cleve,Herman,86,2009-10-12,367,1
16,Furman,Ullrich,34,2008-10-12,0,1
17,Delbert,Volkman,19,2004-10-12,0,1
18,Demetrius,Fay,98,2005-10-12,244,1
19,Terence,Bahringer,41,2005-10-12,0,1
20,Drew,Koss,18,2007-10-12,161,1
21,Walker,Kilback,51,2003-10-12,283,1
22,Jaylon,Hilll,11,2005-10-12,336,1
23,Oran,Hegmann,13,2005-10-12,0,1
24,Esperanza,Klein,92,2006-10-12,0,1
25,Zella,Johns,26,2005-10-12,209,1
26,Karley,Altenwerth,66,2002-10-12,213,1
27,Rae,Johns,87,2009-10-12,304,1
28,Ray,Walker,7,2004-10-12,0,1
29,Charlene,Farrell,53,2007-10-12,226,1
30,Nickolas,Raynor,90,2009-10-12,0,1
31,Jaunita,Bogisich,16,2002-10-12,284,1
32,Percival,Fay,26,2008-10-12,0,1
33,Alanna,Powlowski,77,2005-10-12,0,1
34,Hattie,Farrell,53,2004-10-12,0,1
35,Maximus,Kilback,41,2005-10-12,0,1
36,Jordon,Beahan,47,2008-10-12,152,1
37,Aleen,Kilback,51,2009-10-12,0,1
38,Frieda,Fay,49,2004-10-12,0,1
39,Gay,O'Conner,33,2004-10-12,0,1
40,Emory,Johns,26,2002-10-12,0,1
41,Vesta,O'Hara,95,2008-10-12,0,1
42,Domenick,Johns,26,2003-10-12,146,1
43,Tatum,Zulauf,4,2007-10-12,0,1
44,Marco,Simonis,23,2009-10-12,0,1
45,Emile,Quigley,99,2008-10-12,0,1
46,Vivian,Prosacco,1,2003-10-12,124,1
47,Jessy,Fadel,5,2003-10-12,203,1
48,Telly,Ryan,65,2007-10-12,0,1
49,Joey,Maggio,74,2002-10-12,0,1
50,Brandy,Murazik,52,2005-10-12,0,1
51,Hayden,Grant,10,2008-10-12,372,1
52,Mariane,Murazik,9,2002-10-12,0,1
53,Shanny,Fadel,5,2003-10-12,382,1
54,Elna,Feeney,36,2009-10-12,0,1
55,Janie,Blanda,78,2005-10-12,0,1
56,Bettye,Beer,54,2003-10-12,203,1
57,Casandra,Runolfsson,98,2006-10-12,0,1
58,Ryan,Kuhic,78,2003-10-12,354,1
59,Kiarra,Thiel,20,2007-10-12,127,1
60,Ariel,Johns,26,2007-10-12,0,1
61,Noemy,Gutkowski,55,2005-10-12,0,1
62,Carleton,O'Hara,95,2002-10-12,147,1
63,Merle,Kuhn,37,2003-10-12,389,1
64,Jessyca,Walter,81,2007-10-12,0,1
65,Yadira,Beatty,17,2009-10-12,365,1
66,Skye,Barton,57,2007-10-12,0,1
67,Darius,Sporer,91,2006-10-12,0,1
68,Garrison,Rodriguez,38,2009-10-12,384,1
69,Jeanette,Spinka,24,2002-10-12,0,1
70,Isai,Conn,78,2009-10-12,0,1
71,Dalton,Bailey,66,2004-10-12,0,1
72,Nils,Rodriguez,75,2003-10-12,127,1
73,Lavada,Howe,82,2008-10-12,0,1
74,Alisa,Murazik,9,2002-10-12,336,1
75,Corene,Batz,3,2004-10-12,0,1
76,Rodrick,Green,52,2009-10-12,0,1
77,Angelica,Legros,25,2002-10-12,122,1
78,Hattie,Goodwin,27,2003-10-12,178,1
79,Keith,Quigley,99,2003-10-12,109,1
80,Waldo,Fahey,22,2005-10-12,241,1
81,Burley,Daniel,31,2004-10-12,0,1
82,Jacquelyn,Cartwright,33,2008-10-12,0,1
83,Katlyn,Fadel,5,2005-10-12,0,1
84,Retha,Satterfield,15,2004-10-12,101,1
85,Celestine,Fay,98,2004-10-12,0,1
