id,first_name,last_name,family_id,date_of_birth,rating,active
1,Demarcus,Heathcote,98,2004-10-12,0,t
2,Emery,Wyman,18,2006-10-12,361,t
3,Tristin,Rippin,73,2007-10-12,203,t
4,Verlie,Wiza,14,2004-10-12,113,t
5,Kade,Doyle,79,2002-10-12,0,t
6,Xavier,McCullough,37,2005-10-12,121,t
7,Trent,VonRueden,80,2007-10-12,243,t
8,Ernie,Schaefer,56,2002-10-12,237,t
9,Leon,Jacobi,48,2006-10-12,345,t
10,Madalyn,Breitenberg,19,2008-10-12,0,t
11,Edwin,Herman,29,2009-10-12,0,t
12,Brennan,Kunde,22,2002-10-12,0,t
13,Nicolette,Satterfield,29,2006-10-12,121,t
14,Hershel,Kutch,94,2006-10-12,0,t
15,Rachael,Upton,30,2005-10-12,248,t
16,Titus,Berge,4,2009-10-12,176,t
17,Layne,Jenkins,85,2007-10-12,0,t
18,Jaydon,Goldner,40,2003-10-12,0,t
19,Adonis,Cruickshank,5,2003-10-12,0,t
20,Gaylord,Brown,94,2009-10-12,0,t
21,Vada,Kunde,22,2008-10-12,0,t
22,Miller,Rippin,73,2009-10-12,0,t
23,April,Kovacek,33,2002-10-12,277,t
24,Sydney,Weber,81,2007-10-12,125,t
25,Desmond,Wyman,18,2003-10-12,358,t
26,Griffin,Hansen,27,2002-10-12,0,t
27,Marcella,Breitenberg,19,2008-10-12,0,t
28,Delfina,Bode,79,2007-10-12,0,t
29,Dean,Kunde,6,2005-10-12,305,t
30,Ramiro,Mann,21,2004-10-12,0,t
31,Herminia,Upton,30,2002-10-12,0,t
32,Ruth,Nienow,72,2007-10-12,120,t
33,Margarita,Lang,49,2008-10-12,335,t
34,Johanna,Abshire,86,2004-10-12,0,t
35,Domenic,Berge,4,2003-10-12,0,t
36,Rosetta,Waelchi,78,2005-10-12,288,t
37,Lurline,Braun,15,2006-10-12,265,t
38,Salma,Reilly,31,2008-10-12,129,t
39,Clemmie,Beahan,77,2002-10-12,0,t
40,Albin,Ortiz,39,2004-10-12,0,t
41,Kadin,Koelpin,42,2004-10-12,0,t
42,Dagmar,Zboncak,93,2002-10-12,205,t
43,Meda,Wisoky,82,2003-10-12,0,t
44,Lina,Upton,30,2003-10-12,0,t
45,Princess,Wyman,14,2005-10-12,0,t
46,Buck,Leuschke,16,2005-10-12,384,t
47,Arianna,Simonis,62,2004-10-12,336,t
48,Gina,Simonis,62,2008-10-12,0,t
49,Alphonso,DuBuque,1,2005-10-12,0,t
50,Misael,Langosh,24,2002-10-12,229,t
51,Jadon,Lowe,42,2006-10-12,0,t
52,Sophie,McKenzie,12,2004-10-12,285,t
53,Sandra,McDermott,97,2007-10-12,204,t
54,Erika,Kunde,6,2007-10-12,0,t
55,Cooper,Smitham,29,2004-10-12,281,t
56,Reece,Wisoky,34,2003-10-12,0,t
57,Lea,Smith,36,2003-10-12,232,t
58,Guiseppe,Prosacco,80,2008-10-12,0,t
59,Perry,Nienow,72,2006-10-12,154,t
60,Jess,Leuschke,16,2002-10-12,0,t
61,Dovie,Kunde,6,2006-10-12,0,t
62,Abbey,Schulist,38,2003-10-12,0,t
63,Vesta,Kunde,22,2002-10-12,0,t
