id,first_name,last_name,family_id,date_of_birth,rating,active
1,Noble,Emard,88,2002-10-18,0,t
2,Aliyah,Dooley,68,2006-10-18,0,t
3,Carleton,Aufderhar,74,2008-10-18,154,t
4,Gerald,Dibbert,77,2009-10-18,386,t
5,Blaze,Huel,62,2005-10-18,152,t
6,Chandler,Flatley,57,2009-10-18,310,t
7,Mireille,Rosenbaum,92,2003-10-18,0,t
8,Ansel,Stroman,5,2005-10-18,0,t
9,Jacklyn,Hane,23,2004-10-18,0,t
10,Jordyn,Jenkins,91,2008-10-18,0,t
11,Hilbert,Halvorson,12,2002-10-18,0,t
12,Gloria,D'Amore,24,2008-10-18,391,t
13,Garret,Bruen,75,2009-10-18,314,t
14,Barrett,Ryan,65,2004-10-18,0,t
15,Alexander,Pollich,15,2007-10-18,0,t
16,Charley,Mertz,84,2005-10-18,0,t
17,Katherine,Stanton,51,2008-10-18,0,t
18,Nigel,Watsica,96,2005-10-18,0,t
19,Heidi,Lang,90,2003-10-18,317,t
20,Mandy,Dach,35,2006-10-18,0,t
21,Shanon,Marquardt,26,2002-10-18,161,t
22,Ena,Nader,58,2009-10-18,0,t
23,Kyra,Sauer,73,2002-10-18,243,t
24,Frederik,Durgan,6,2003-10-18,318,t
25,Ursula,Kuphal,87,2005-10-18,300,t
26,Sydnie,Kub,55,2004-10-18,0,t
27,Ashton,Renner,8,2009-10-18,0,t
28,Maynard,Hintz,27,2002-10-18,0,t
29,Francesca,Hessel,15,2004-10-18,0,t
30,Thaddeus,Lueilwitz,9,2007-10-18,336,t
31,Christine,Dickinson,21,2002-10-18,0,t
32,Pierce,Franecki,97,2002-10-18,283,t
33,Telly,Shields,98,2005-10-18,209,t
34,Keith,Eichmann,33,2006-10-18,0,t
35,Olaf,Gleason,35,2005-10-18,0,t
36,Elissa,Larson,14,2006-10-18,0,t
37,Jesus,Thiel,65,2006-10-18,112,t
38,Eliseo,Little,60,2005-10-18,107,t
39,Ignacio,Stanton,51,2008-10-18,0,t
40,Olen,Renner,8,2002-10-18,0,t
41,Joannie,Dare,69,2007-10-18,317,t
42,Celestine,Zemlak,80,2002-10-18,117,t
43,August,Renner,71,2003-10-18,270,t
44,Eldridge,Upton,59,2005-10-18,0,t
45,Reina,Pollich,15,2006-10-18,157,t
46,Ollie,Pollich,15,2008-10-18,288,t
47,Nyah,Ward,44,2003-10-18,254,t
48,Gerardo,Stanton,51,2003-10-18,0,t
49,Stephanie,Wyman,61,2007-10-18,225,t
50,Piper,Hudson,95,2008-10-18,339,t
51,Emile,Shields,98,2003-10-18,0,t
52,Maximillian,Sawayn,36,2008-10-18,203,t
53,Chasity,Reinger,3,2007-10-18,0,t
54,Alek,Botsford,11,2004-10-18,245,t
55,Damian,Reinger,3,2004-10-18,0,t
56,Bobby,Turner,55,2003-10-18,0,t
57,Boyd,Herman,71,2006-10-18,155,t
58,Garnett,Huel,62,2007-10-18,104,t
59,Willy,Durgan,6,2006-10-18,322,t
60,Jerrell,Ferry,53,2007-10-18,117,t
61,Tyree,Herman,71,2006-10-18,0,t
62,Dewitt,O'Reilly,67,2004-10-18,221,t
63,Zola,Shields,98,2004-10-18,0,t
64,Jamir,Schultz,25,2002-10-18,317,t
65,Oliver,Bergstrom,37,2002-10-18,0,t
66,Edmond,Bechtelar,34,2006-10-18,367,t
67,Ardith,D'Amore,24,2003-10-18,327,t
68,Aimee,Rutherford,9,2008-10-18,264,t
69,Liliana,Price,30,2004-10-18,0,t
70,Trisha,Emard,88,2004-10-18,115,t
71,Janiya,Herman,71,2006-10-18,389,t
72,Elvera,Steuber,84,2008-10-18,0,t
73,Adrienne,Stamm,91,2005-10-18,300,t
74,Estefania,Durgan,6,2007-10-18,101,t
75,Reina,Kling,38,2009-10-18,0,t
76,Joan,Kub,55,2002-10-18,275,t
77,Cora,Ziemann,93,2008-10-18,0,t
78,Annabelle,Sawayn,36,2009-10-18,0,t
79,Jena,Bashirian,54,2008-10-18,0,t
80,Kenneth,Kautzer,94,2006-10-18,0,t
81,Rhianna,Hintz,10,2009-10-18,0,t
82,Jerry,Aufderhar,74,2009-10-18,393,t
83,Diego,Flatley,57,2008-10-18,0,t
84,Reynold,Dickinson,21,2004-10-18,0,t
85,Melany,Welch,73,2009-10-18,0,t
86,Clifford,Hilll,25,2004-10-18,282,t
87,Corbin,Reinger,3,2004-10-18,315,t
88,Miller,Leannon,81,2003-10-18,0,t
89,Shanie,Hintz,27,2005-10-18,0,t
90,Stevie,Koss,36,2005-10-18,135,t
91,Adriana,Abernathy,85,2002-10-18,0,t
92,Jaylan,Weber,19,2007-10-18,393,t
93,Casimer,Keeling,79,2005-10-18,0,t
94,Delores,Kling,38,2003-10-18,0,t
95,Bethel,Price,30,2008-10-18,116,t
96,Vaughn,Hahn,99,2003-10-18,0,t
97,Josiah,Eichmann,33,2009-10-18,0,t
98,Ocie,Bechtelar,34,2002-10-18,330,t
99,Kara,Lindgren,17,2002-10-18,198,t
100,Melody,Aufderhar,74,2003-10-18,0,t
101,Miles,Carter,85,2009-10-18,376,t
102,Monica,McClure,49,2002-10-18,0,t
103,Ezekiel,Bechtelar,74,2004-10-18,0,t
104,Daniela,Kub,55,2005-10-18,0,t
105,Andreanne,Hackett,70,2002-10-18,265,t
106,Jaron,Ziemann,93,2005-10-18,0,t
107,Abagail,Botsford,11,2002-10-18,0,t
108,Cordie,Hermann,28,2004-10-18,0,t
109,Hank,Bergstrom,37,2008-10-18,0,t
110,Mable,Mante,53,2005-10-18,0,t
111,Paula,Boyer,70,2003-10-18,130,t
112,Antonetta,Rolfson,47,2004-10-18,191,t
113,Davon,Bashirian,54,2009-10-18,0,t
114,Ari,Weber,19,2006-10-18,0,t
