id,first_name,last_name,family_id,date_of_birth,rating,active
1,Mose,Goyette,58,2005-10-12,0,1
2,Marcelo,Bauch,42,2002-10-12,0,1
3,Keara,Stanton,79,2006-10-12,262,1
4,Rashad,Casper,36,2007-10-12,337,1
5,Mackenzie,Morissette,54,2004-10-12,383,1
6,Bailee,Carter,77,2009-10-12,202,1
7,Jaeden,Boyle,14,2005-10-12,223,1
8,Hipolito,O'Kon,61,2006-10-12,0,1
9,Shakira,Kassulke,89,2007-10-12,116,1
10,Zachary,Carter,77,2008-10-12,0,1
11,Marisa,Lesch,40,2003-10-12,182,1
12,Jerrod,Leuschke,23,2006-10-12,0,1
13,Lowell,Roob,28,2009-10-12,135,1
14,Garrick,Koelpin,22,2002-10-12,110,1
15,Armando,Koch,65,2009-10-12,0,1
16,Lenore,Reilly,84,2008-10-12,325,1
17,Breanne,King,98,2006-10-12,366,1
18,Cordell,Howell,92,2002-10-12,311,1
19,Lauretta,Labadie,97,2003-10-12,153,1
20,Dorothea,Veum,51,2003-10-12,204,1
21,Eulah,Volkman,33,2002-10-12,175,1
22,Kirstin,Wiza,18,2002-10-12,0,1
23,Dashawn,Schmitt,91,2007-10-12,0,1
24,Anita,Morissette,54,2006-10-12,388,1
25,Carleton,Upton,46,2003-10-12,0,1
26,Marilou,Price,17,2009-10-12,160,1
27,Deborah,Welch,76,2005-10-12,0,1
28,Jermey,Boyle,14,2009-10-12,347,1
29,Federico,Sporer,65,2006-10-12,161,1
30,Arjun,Jones,7,2008-10-12,0,1
31,Caden,Bruen,93,2005-10-12,218,1
32,Victor,Kassulke,89,2004-10-12,0,1
33,Agnes,Orn,31,2005-10-12,0,1
34,Laura,Veum,51,2007-10-12,265,1
35,Darius,Barrows,4,2005-10-12,342,1
36,Cyrus,Upton,86,2005-10-12,0,1
37,Pansy,Von,36,2004-10-12,181,1
38,Myrtis,Reichert,5,2006-10-12,0,1
39,Courtney,Okuneva,82,2005-10-12,130,1
40,Ara,Boyle,14,2003-10-12,387,1
41,Irwin,Crooks,73,2003-10-12,219,1
42,Dedrick,Volkman,33,2006-10-12,215,1
43,Sigmund,Kuhlman,86,2003-10-12,0,1
44,Jade,Thiel,99,2004-10-12,198,1
45,Hans,Kuhlman,86,2004-10-12,168,1
46,Jarrod,Funk,80,2009-10-12,167,1
47,Judah,Hand,62,2008-10-12,0,1
