id,first_name,last_name,family_id,date_of_birth,rating,active
1,Jason,Kshlerin,70,2003-10-12,0,t
2,Wallace,Abbott,82,2007-10-12,0,t
3,Kendall,Herman,3,2002-10-12,0,t
4,Amira,Wisozk,24,2008-10-12,0,t
5,Rita,Johnston,75,2004-10-12,148,t
6,Andre,Mante,71,2006-10-12,295,t
7,Zaria,Pacocha,32,2004-10-12,228,t
8,Tyree,Harris,54,2004-10-12,0,t
9,Arnold,Schimmel,92,2005-10-12,0,t
10,Polly,Walker,4,2005-10-12,268,t
11,Jedidiah,Hartmann,95,2005-10-12,0,t
12,Veda,Schmeler,35,2005-10-12,344,t
13,Raphael,Waelchi,9,2003-10-12,0,t
14,Mason,Friesen,79,2004-10-12,0,t
15,Lorenzo,Grady,13,2008-10-12,222,t
16,Zena,O'Hara,94,2008-10-12,102,t
17,Daisha,Fay,47,2005-10-12,0,t
18,Ciara,Stiedemann,60,2006-10-12,0,t
19,Clarabelle,Haley,63,2002-10-12,273,t
20,Herminia,Fay,47,2007-10-12,0,t
21,Tabitha,Haley,63,2003-10-12,335,t
22,Esta,Bins,14,2003-10-12,363,t
23,Pinkie,Kiehn,45,2002-10-12,0,t
24,Jodie,Gleason,29,2006-10-12,0,t
25,Nikolas,Feeney,6,2009-10-12,0,t
26,Clinton,Schulist,61,2003-10-12,0,t
27,Warren,Mills,28,2003-10-12,0,t
28,Cathrine,Heaney,62,2004-10-12,270,t
29,Jeff,Hagenes,45,2006-10-12,0,t
30,Emma,Schuster,55,2003-10-12,258,t
31,Remington,Herman,3,2007-10-12,0,t
32,Edythe,Kozey,1,2002-10-12,0,t
33,Mustafa,Jones,76,2005-10-12,269,t
34,Alison,Medhurst,23,2007-10-12,204,t
35,Addison,Jones,76,2008-10-12,292,t
36,Richmond,Stiedemann,60,2008-10-12,0,t
37,Natasha,Gleason,29,2009-10-12,381,t
38,Chesley,Barton,41,2004-10-12,205,t
39,Yasmeen,Reinger,73,2008-10-12,137,t
40,Winona,Kshlerin,6,2008-10-12,0,t
